ENERGY STAR Unique ID,Brand Name,Model Number,Commercial Versus Residential,Indoor and Outdoor,Technology,Fixture Type,Total Light Output (lumens),Total Input Power (Watts),Energy Efficiency - Measured at the Source (lumens/Watt),Energy Efficiency - Measured Outside the Fixture (lumens/Watt),Appearance/Correlated Color Temperature (K),Color Quality (CRI),Light Source Life (hrs),Light Sources Per Fixture,Special Features,Date Available On Market,Date Certified,Markets
2246910,Deco Lighting,DLED-ARFK93027UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,2065,31.1,N/A,66.4,2700,81,36000,N/A,Continuous Dimming,04/03/2015,08/19/2015,United States and Canada
2246938,Deco Lighting,DLED-ARFK92350UNV,Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,5000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246937,Deco Lighting,DLED-ARFK92340UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,4000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246936,Deco Lighting,DLED-ARFK92335UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,3500,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246935,Deco Lighting,DLED-ARFK92330UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,3000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246922,Deco Lighting,DLED-ARFK92327UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1631,23,N/A,76.2,2700,82,36000,N/A,Continuous Dimming,04/03/2015,08/19/2015,United States and Canada
2246958,Deco Lighting,DLED-ARFK91450UNV,Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,5000,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246957,Deco Lighting,DLED-ARFK91440UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,4000,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246956,Deco Lighting,DLED-ARFK91435UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,3500,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2239389,Eran,CLL220-014W-50K-8-D-,Commercial,Outdoor,LED,Inseparable SSL - Other,1274,14,N/A,89,5000,N/A,50000,N/A,Continuous Dimming,12/10/2014,03/31/2015,United States and Canada
2246955,Deco Lighting,DLED-ARFK91430UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,3000,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246954,Deco Lighting,DLED-ARFK91427UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1080,17,N/A,64.7,2700,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246966,Deco Lighting,DLED-ARFK83050UNV,Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,5000,81,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246917,Deco Lighting,DLED-ARFK83040UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,4000,81,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246916,Deco Lighting,DLED-ARFK83035UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,3500,81,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246915,Deco Lighting,DLED-ARFK83030UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,3000,81,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2253946,Eco bright,DW4GF-12W-2.7K-040,Residential and Commercial,Indoor and Outdoor,LED,Downlight Solid State Retrofit,600,12,N/A,64.8,2700,91,35000,1,Continuous Dimming,07/20/2013,11/30/2015,United States
2246909,Deco Lighting,DLED-ARFK83027UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,2011,31.1,N/A,64.7,2700,81,36000,N/A,Continuous Dimming,04/03/2015,08/19/2015,United States and Canada
2246934,Deco Lighting,DLED-ARFK82350UNV,Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,5000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2215004,ETI,541961XX,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,350,6,N/A,68,2700,85,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2215005,ETI,541961XX,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,350,6,N/A,71.7,3000,84,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2215006,ETI,541961XX,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,350,6,N/A,68,3500,85,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2215007,ETI,541961XX,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,350,6,N/A,68,4000,85,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2215008,ETI,541961XX,Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,350,6,N/A,68,5000,85,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2246933,Deco Lighting,DLED-ARFK82340UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,4000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2214999,ETI,541971XX,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,250,4,N/A,66.9,2700,85,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2226761,Core,LED-RT4-G3-89030,Residential and Commercial,Indoor and Outdoor,LED,Downlight Solid State Retrofit,550,8.6,N/A,68.9,3000,82,35000,N/A,Continuous Dimming,11/30/2014,11/21/2014,Canada
2181801,Core,LED-RT4-94030,Residential and Commercial,Indoor,LED,Downlight Recessed,650,9,N/A,70.1,3000,82,36000,1,Continuous Dimming,05/10/2013,04/29/2013,United States
2216804,Eco bright,DW4IN-13W-2.7K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,600,13,N/A,47.9,2700,96,35000,1,Continuous Dimming,01/09/2014,07/29/2014,United States
2176486,Core,RT6-850/3K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,850,13,N/A,70.3,3000,82,35000,N/A,Continuous Dimming,03/01/2013,02/25/2013,United States
2176485,Core,RT6-1200/3K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1200,18,N/A,70.3,3000,82,35000,N/A,Continuous Dimming,03/01/2013,02/25/2013,United States
2170691,World Imports,WI7204-x,Residential,Indoor,Fluorescent,Ceiling Mount,10008,96,78.2,N/A,3000,83,10000,4,Non-Dimmable,05/17/2011,05/30/2012,United States
2247778,EPL,EPL-DR610-WW,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,870,10,N/A,88.1,2700,81,36000,N/A,Continuous Dimming,10/05/2015,08/28/2015,United States and Canada
2247779,EPL,EPL-DR610-WW,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,840,10,N/A,88.2,3000,81,36000,N/A,Continuous Dimming,10/05/2015,08/28/2015,United States and Canada
2247780,EPL,EPL-DR610-WW,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,870,10,N/A,88.7,3500,82,36000,N/A,Continuous Dimming,10/05/2015,08/28/2015,United States and Canada
2247781,EPL,EPL-DR610-WW,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,870,10,N/A,89.6,4000,83,36000,N/A,Continuous Dimming,10/05/2015,08/28/2015,United States and Canada
2247782,EPL,EPL-DR610-WW,Commercial,Indoor,LED,Downlight Solid State Retrofit,870,10,N/A,90.5,5000,84,36000,N/A,Continuous Dimming,10/05/2015,08/28/2015,United States and Canada
2225975,Hampton Bay,LED8822-x,Residential,Outdoor,LED,Porch (wall mounted),N/A,6,99,N/A,N/A,N/A,60000,1,Non-Dimmable,05/01/2014,11/24/2014,United States and Canada
2160943,Engineered Products,16530,Residential,Indoor,Fluorescent,Ceiling Mount,900,13,70.8,N/A,2700,82,10000,N/A,Non-Dimmable,03/18/2011,07/16/2012,United States and Canada
2160944,Engineered Products,16535,Residential,Indoor,Fluorescent,Ceiling Mount,900,13,70.8,N/A,2700,82,10000,N/A,Non-Dimmable,03/18/2011,07/16/2012,United States and Canada
2252248,EPCO,16540,N/A,Indoor,LED,Inseparable SSL - Other,519,7.3,N/A,70.8,3000,83,50000,22,N/A,01/01/2015,11/09/2015,United States and Canada
2225974,Hampton Bay,LED7002-x,Residential,Outdoor,LED,Porch (wall mounted),N/A,5,99,N/A,N/A,N/A,60000,1,Non-Dimmable,05/01/2014,11/24/2014,United States and Canada
2168019,Hampton Bay,HBP1042P-x,Residential,Indoor,Fluorescent,Torchiere,3200,48,72,N/A,2700,82,10000,4,Non-Dimmable,10/01/2011,02/13/2012,Canada
2252954,Hampton Bay,HBL1144-X,Residential,Indoor,LED,Ceiling Mount,3800,58,100.3,N/A,4000,83,52000,120,N/A,11/10/2015,11/13/2015,United States and Canada
2160937,Hampton Bay,HBF1331P-x,Residential,Indoor,Fluorescent,Ceiling Mount,2982,96,67.7,N/A,4000,84,10000,2,Non-Dimmable,05/17/2011,06/06/2012,United States
2225893,Hampton Bay,HB7024-X,Residential,Outdoor,LED,N/A,432,6,N/A,72,3000,N/A,60000,1,Non-Dimmable,05/01/2014,11/24/2014,United States and Canada
2252948,Hampton Bay,DC1240LED-X,Residential,Indoor,LED,Ceiling Mount,3000,42,105.4,N/A,4000,83,51000,96,N/A,11/10/2015,11/13/2015,United States and Canada
2252963,Hampton Bay,DC032LED-X,Residential,Indoor,LED,Ceiling Mount,3000,43,91.5,N/A,4000,83,51000,96,N/A,10/16/2015,10/16/2015,United States and Canada
2252960,Hampton Bay,DC016LED-X,Residential,Indoor,LED,Ceiling Mount,1820,26,86.3,N/A,4000,84,54000,21,N/A,10/16/2015,10/16/2015,United States and Canada
2186534,Hampton Bay,CO1248HPF,Residential,Indoor,Fluorescent,Ceiling Mount,7506,96,78.2,N/A,3000,83,10000,3,Non-Dimmable,05/17/2011,05/30/2012,United States
2253947,Eco bright,DW4GB-12W-4K-041,Residential and Commercial,Indoor and Outdoor,LED,Downlight Solid State Retrofit,600,12,N/A,68.4,4000,93,35000,1,Continuous Dimming,07/20/2013,11/30/2015,United States
2253945,Eco bright,DW4GB-12W-5K-044,Residential and Commercial,Indoor and Outdoor,LED,Downlight Solid State Retrofit,600,12,N/A,68.4,5000,93,35000,1,Continuous Dimming,07/20/2013,11/30/2015,United States
2243236,Eco bright,DW4OB-12W-2.7K-034,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,600,11.7,N/A,64.8,2700,91,35000,1,Continuous Dimming,07/13/2015,07/13/2015,United States
2230546,Eco bright,DW56IN-16W-2.7K,Commercial,Indoor,LED,Downlight Solid State Retrofit,800,16,N/A,72.5,2700,92,40000,1,Continuous Dimming,07/20/2013,01/05/2015,United States and Canada
2230619,Eco bright,DW56IN-16W-5K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,800,16,N/A,77,5000,93,35000,1,Continuous Dimming,07/20/2013,01/06/2015,United States and Canada
2210562,Eco bright,ECO-DW650-11-2.7K-D-,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,650,11,N/A,61,2700,83,35000,1,Continuous Dimming- Type Non-IC,07/20/2013,05/15/2014,United States
2213490,Eco bright,ECO-DW650-12-2.7K-D-,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,650,12,N/A,53.4,2700,96,35000,1,Continuous Dimming- Type Non-IC Airtight,06/19/2014,06/19/2014,United States and Canada
2219680,Eco bright,ECO-DW800-13-30K-D-M,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,791,13,N/A,56,3000,97,35000,1,Continuous Dimming- Type Non-IC,09/17/2014,09/17/2014,United States
2213489,Eco bright,ECO-DW850-16-2.7K-D-,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,850,16,N/A,58.1,2700,95,35000,1,Continuous Dimming- Type Non-IC Airtight,06/18/2014,06/19/2014,United States
2234577,ECO LED BRIGHT INC,DW4IN-9W-2.7K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,600,9,N/A,85,2700,93,54000,N/A,Continuous Dimming,01/13/2015,03/02/2015,United States
2234578,ECO LED BRIGHT INC,DW4IN-9W-3K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,600,9,N/A,84,3000,91,54000,N/A,Continuous Dimming,01/13/2015,03/02/2015,United States
2234579,ECO LED BRIGHT INC,DW4IN-9W-4K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,600,9,N/A,88,4000,94,54000,N/A,Continuous Dimming,01/13/2015,03/02/2015,United States
2234580,ECO LED BRIGHT INC,DW4IN-9W-5K,Commercial,Indoor,LED,Downlight Solid State Retrofit,600,9,N/A,90,5000,93,54000,N/A,Continuous Dimming,01/13/2015,03/02/2015,United States
2234581,ECO LED BRIGHT INC,DW56IN-13W-2.7K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,800,13,N/A,67,2700,93,54000,N/A,Continuous Dimming,01/02/2015,03/02/2015,United States
2234582,ECO LED BRIGHT INC,DW56IN-13W-3K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,800,13,N/A,69,3000,93,54000,N/A,Continuous Dimming,01/02/2015,03/02/2015,United States
2234583,ECO LED BRIGHT INC,DW56IN-13W-4K,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,800,13,N/A,76,4000,93,54000,N/A,Continuous Dimming,01/02/2015,03/02/2015,United States
2234584,ECO LED BRIGHT INC,DW56IN-13W-5K,Commercial,Indoor,LED,Downlight Solid State Retrofit,800,13,N/A,78,5000,93,54000,N/A,Continuous Dimming,01/02/2015,03/02/2015,United States
2188454,EcoSense,05LC-48-27-120-120,Residential,Indoor,LED,N/A,2484,55,N/A,59.9,2700,83,6048,N/A,Continuous Dimming- Type IC Airtight,01/11/2012,03/05/2013,United States and Canada
2255225,EnviroLite,EVT102527-Y,N/A,Indoor,LED,Accent Light Line-voltage,2001,26,N/A,78.1,2700,84,54000,1,N/A,02/01/2016,12/18/2015,United States and Canada
2215000,ETI,541971XX,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,250,4,N/A,74.4,3000,86,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2215001,ETI,541971XX,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,250,4,N/A,66.9,3500,85,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2215002,ETI,541971XX,Residential and Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,250,4,N/A,66.9,4000,85,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2215003,ETI,541971XX,Commercial,Indoor,LED,Under Cabinet Shelf Mounted Task Light,250,4,N/A,66.9,5000,85,35000,N/A,Non-Dimmable,06/11/2013,05/30/2014,United States and Canada
2255227,EnviroLite,EVT102027-Y,N/A,Indoor,LED,Accent Light Line-voltage,1994,26,N/A,79.2,2700,83,54000,1,N/A,02/01/2016,12/18/2015,United States and Canada
2237731,ETI,542531XX,Residential,Indoor,LED,N/A,3500,50,N/A,76.8,3000,82,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237795,ETI,542531XX,Residential,Indoor,LED,N/A,3500,50,N/A,76.8,4000,83,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237802,ETI,542531XX,Residential,Indoor,LED,N/A,3500,50,N/A,76.8,2700,82,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237864,ETI,542531XX,Residential,Indoor,LED,N/A,3500,50,N/A,76.8,3500,83,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237728,ETI,542541XX,Residential,Indoor,LED,N/A,3000,42,N/A,76.5,2700,84,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237730,ETI,542541XX,Residential,Indoor,LED,N/A,3000,42,N/A,72.5,3000,81,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237733,ETI,542541XX,Residential,Indoor,LED,N/A,3200,42,N/A,80.5,4000,81,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237792,ETI,542541XX,Residential,Indoor,LED,N/A,3000,42,N/A,72.5,3500,81,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237811,ETI,542541XX,Residential,Indoor,LED,N/A,3200,42,N/A,81.5,4000,84,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237822,ETI,542541XX,Residential,Indoor,LED,N/A,3000,42,N/A,72.5,2700,81,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237823,ETI,542541XX,Residential,Indoor,LED,N/A,3000,42,N/A,76.5,3500,84,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2239390,Eran,CLL220-014W-50K-8-D-,Commercial,Outdoor,LED,Inseparable SSL - Other,1274,14,N/A,89,5000,N/A,50000,N/A,Continuous Dimming,12/10/2014,03/31/2015,United States and Canada
2237862,ETI,542541XX,Residential,Indoor,LED,N/A,3000,42,N/A,76.5,3000,84,50000,N/A,Non-Dimmable,04/01/2015,04/09/2015,United States and Canada
2237517,ETI,542551XX,Residential,Indoor,LED,Inseparable SSL - Other,1500,18,N/A,93,4000,84,35000,1,Non-Dimmable,03/27/2015,04/20/2015,United States and Canada
2255204,EnviroLite,EVT101727-Y,N/A,Indoor,LED,Accent Light Line-voltage,2016,26,N/A,80.8,2700,83,54000,1,N/A,02/01/2016,12/18/2015,United States and Canada
2255226,EnviroLite,EVT101227-Y,N/A,Indoor,LED,Accent Light Line-voltage,2024,26,N/A,80.4,2700,83,54000,1,N/A,02/01/2016,12/18/2015,United States and Canada
2255575,EnviroLite,EVSLBL36R,N/A,Indoor,LED,Downlight Pendant,3180,51,N/A,62.5,4000,84,54000,N/A,N/A,12/17/2015,12/25/2015,United States and Canada
2222444,EnviroLite,EVLED1022-X,Residential,Indoor,LED,Ceiling Mount,1366,19,68.4,N/A,2700,80,54000,1,Continuous Dimming,05/01/2014,10/16/2014,United States and Canada
2252951,Hampton Bay,HBL1143-X,Residential,Indoor,LED,Ceiling Mount,2800,43,107.8,N/A,4000,83,50000,96,N/A,11/10/2015,11/13/2015,United States and Canada
2197594,Halo,H457ICAT1E EL406930,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2197588,Halo,H457ICAT1E EL406927,Residential and Commercial,Indoor,LED,Downlight Recessed,690,12.3,N/A,56,2700,93,50000,1,Continuous Dimming- Type IC Airtight,11/15/2013,11/22/2013,United States and Canada
2246932,Deco Lighting,DLED-ARFK82335UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,3500,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246931,Deco Lighting,DLED-ARFK82330UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,3000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246921,Deco Lighting,DLED-ARFK82327UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1590,23,N/A,74.3,2700,81,36000,N/A,Continuous Dimming,04/03/2015,08/19/2015,United States and Canada
2239387,Eran,CLL220-014W-40K-8-D-,Residential and Commercial,Outdoor,LED,Inseparable SSL - Other,1274,14,N/A,89,4000,N/A,50000,N/A,Continuous Dimming,12/10/2014,03/31/2015,United States and Canada
2239388,Eran,CLL220-014W-40K-8-D-,Residential and Commercial,Outdoor,LED,Inseparable SSL - Other,1274,14,N/A,89,4000,N/A,50000,N/A,Continuous Dimming,12/10/2014,03/31/2015,United States and Canada
2239397,Eran,CLL220-014W-40K-8-XX,Residential and Commercial,Outdoor,LED,Inseparable SSL - Other,1230,14,N/A,87,4000,N/A,50000,N/A,Non-Dimmable,12/10/2014,03/31/2015,United States and Canada
2239398,Eran,CLL220-014W-40K-8-XX,Residential and Commercial,Outdoor,LED,Inseparable SSL - Other,1230,14,N/A,87,4000,N/A,50000,N/A,Non-Dimmable,12/10/2014,03/31/2015,United States and Canada
2239406,Eran,CLL220-020W-40K-8-D-,Residential and Commercial,Outdoor,LED,Inseparable SSL - Other,2128,20,N/A,105,4000,N/A,50000,N/A,Continuous Dimming,12/10/2014,03/31/2015,United States and Canada
2239413,Eran,CLL220-020W-40K-8-XX,Residential,Outdoor,LED,Inseparable SSL - Other,2136,20,N/A,110,4000,N/A,50000,N/A,Non-Dimmable,12/10/2014,03/31/2015,United States and Canada
2239414,Eran,CLL220-020W-40K-8-XX,Residential and Commercial,Outdoor,LED,Inseparable SSL - Other,2136,20,N/A,110,4000,N/A,50000,N/A,Non-Dimmable,12/10/2014,03/31/2015,United States and Canada
2239407,Eran,CLL220-020W-50K-8-D-,Commercial,Outdoor,LED,Inseparable SSL - Other,2128,20,N/A,105,5000,N/A,50000,N/A,Continuous Dimming,12/10/2014,03/31/2015,United States and Canada
2239408,Eran,CLL220-020W-50K-8-D-,Commercial,Outdoor,LED,Inseparable SSL - Other,2128,20,N/A,105,5000,N/A,50000,N/A,Continuous Dimming,12/10/2014,03/31/2015,United States and Canada
2239415,Eran,CLL220-020W-50K-8-XX,Commercial,Outdoor,LED,Inseparable SSL - Other,2136,20,N/A,110,5000,N/A,50000,N/A,Non-Dimmable,12/10/2014,03/31/2015,United States and Canada
2239416,Eran,CLL220-020W-50K-8-XX,Commercial,Outdoor,LED,Inseparable SSL - Other,2136,20,N/A,110,5000,N/A,50000,N/A,Non-Dimmable,12/10/2014,03/31/2015,United States and Canada
2239421,Eran,CLL440-040W-40K-8-D-,Residential and Commercial,Outdoor,LED,Inseparable SSL - Other,3485,40,N/A,89,4000,N/A,50000,N/A,Continuous Dimming,12/10/2014,03/31/2015,United States and Canada
2246953,Deco Lighting,DLED-ARFK81450UNV,Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,5000,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246952,Deco Lighting,DLED-ARFK81440UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,4000,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246951,Deco Lighting,DLED-ARFK81435UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,3500,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246950,Deco Lighting,DLED-ARFK81430UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,3000,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246949,Deco Lighting,DLED-ARFK81427UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1080,17,N/A,64.7,2700,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246914,Deco Lighting,DLED-ARFK63050UNV,Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,5000,81,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246913,Deco Lighting,DLED-ARFK63040UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,4000,81,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246912,Deco Lighting,DLED-ARFK63035UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,3500,81,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246911,Deco Lighting,DLED-ARFK63030UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,3000,81,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246908,Deco Lighting,DLED-ARFK63027UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1700,31.1,N/A,54.7,2700,81,36000,N/A,Continuous Dimming,04/03/2015,08/19/2015,United States and Canada
2246930,Deco Lighting,DLED-ARFK62350UNV,Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,5000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246929,Deco Lighting,DLED-ARFK62340UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,4000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246928,Deco Lighting,DLED-ARFK62335UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,3500,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246927,Deco Lighting,DLED-ARFK62330UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,63,3000,82,36000,N/A,Continuous Dimming,05/01/2014,08/19/2015,United States and Canada
2246920,Deco Lighting,DLED-ARFK62327UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,1348,23,N/A,62.7,2700,82,36000,N/A,Continuous Dimming,04/03/2015,08/19/2015,United States and Canada
2246948,Deco Lighting,DLED-ARFK61450UNV,Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,5000,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246947,Deco Lighting,DLED-ARFK61440UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,4000,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2246946,Deco Lighting,DLED-ARFK61435UNV,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,906,17,N/A,54.3,3500,83,36000,N/A,Continuous Dimming,07/09/2015,08/19/2015,United States and Canada
2193232,EnviroLite,EVL6742AWH50,Commercial,Indoor,LED,Downlight Solid State Retrofit,1174,13,N/A,87,5000,83,60000,N/A,Continuous Dimming,08/01/2014,10/17/2013,United States and Canada
2229734,EnviroLite,EVL6732DBX40,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,710,11.1,N/A,64,4000,90,50000,N/A,Continuous Dimming,06/01/2014,12/22/2014,United States and Canada
2229722,EnviroLite,EVL6732DBX35,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,710,11.1,N/A,64,3500,90,50000,N/A,Continuous Dimming,06/01/2014,12/22/2014,United States and Canada
2229721,EnviroLite,EVL6732DBX30,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,710,11.1,N/A,64,3000,90,50000,N/A,Continuous Dimming,06/01/2014,12/22/2014,United States and Canada
2229614,EnviroLite,EVL6732DBX27,Residential and Commercial,Indoor,LED,Downlight Solid State Retrofit,710,11.1,N/A,64,2700,90,50000,N/A,Continuous Dimming,06/01/2014,12/09/2014,United States and Canada
